City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Aloleng,PH,81.46,overcast clouds,16.13,119.78,Agno Umbrella Rocks
608,Quang Ngai,VN,76.32,overcast clouds,15.12,108.8,Central Hotel
613,Davila,PH,81.03,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
614,Melito Di Porto Salvo,IT,80.6,clear sky,37.92,15.77,B&B Nereidi
616,Matara,LK,77.41,clear sky,5.95,80.54,Amaloh Boutique Resort
618,Puerto Colombia,CO,82.4,broken clouds,10.99,-74.95,Hotel El Emigrante
620,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
624,Fethiye,TR,77.0,clear sky,36.62,29.12,Club & Hotel Letoonia
626,El Limon,VE,79.3,light rain,10.31,-67.63,Campamento Valle Beraca
627,Sioux Lookout,CA,77.0,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
629,Praya,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
630,Wenling,CN,84.0,clear sky,28.37,121.36,Hanting Express Wenling Wanchang North Road
632,Magdalena,PH,80.6,overcast clouds,14.2,121.43,Samparada & Gestiada Residences
634,Sakakah,SA,89.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
639,Pochutla,MX,82.99,overcast clouds,15.74,-96.47,Hotel Posada San Jose
641,Remedios,CU,89.6,scattered clouds,22.49,-79.55,Hostal Yunai
642,Roma,US,87.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
647,Maitum,PH,77.81,few clouds,6.04,124.5,Pearl Garden
654,Tarauaca,BR,85.28,few clouds,-8.16,-70.77,Flat Temporada
658,Port Blair,IN,81.28,overcast clouds,11.67,92.75,Fortune Resort Bay Island
661,Buena Vista,US,87.8,clear sky,43.42,-83.9,Red Roof Inn Saginaw - Frankenmuth
663,Padang,ID,78.31,overcast clouds,-0.95,100.35,Mercure Padang
664,Clearwater,US,89.6,moderate rain,27.97,-82.8,Shephard's Beach Resort
665,Los Llanos De Aridane,ES,75.99,few clouds,28.66,-17.92,Valle Aridane
666,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
673,Lakatoro,VU,77.0,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
675,Coxim,BR,88.38,clear sky,-18.51,-54.76,Hotel Avenida
677,Aquiraz,BR,80.6,overcast clouds,-3.9,-38.39,Hotel Laguna Blu
679,Puerto Morazan,NI,80.6,moderate rain,12.85,-87.17,Iglesia de Dios de la profecia
685,Bintulu,MY,75.2,light rain,3.17,113.03,900 Boutique INN
687,Anuling,PH,77.5,few clouds,6.04,121.01,A S Y Hotel
688,Santiago Del Estero,AR,76.87,overcast clouds,-27.8,-64.26,Hotel Urbano
