City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Faanui,PF,-16.48,-151.75,76.64,78,16,19.53,few clouds
252,Urucara,BR,-2.54,-57.76,90.32,38,78,1.48,broken clouds
253,Geraldton,AU,-28.77,114.6,46.4,93,0,9.17,clear sky
254,Aktash,RU,50.3,87.73,36.81,84,96,3.11,overcast clouds
255,Itaituba,BR,-4.28,-55.98,95.38,30,74,2.71,broken clouds
256,Rio Grande,BR,-32.03,-52.1,66.2,63,0,23.04,clear sky
257,Outjo,NA,-20.12,16.15,58.28,36,0,1.66,clear sky
258,Zyryanka,RU,65.75,150.85,38.82,82,99,9.57,overcast clouds
259,Itarema,BR,-2.92,-39.92,78.15,75,19,17.67,few clouds
260,Ballina,AU,-28.87,153.57,51.01,59,0,8.05,clear sky
261,Marion,US,39.77,-86.16,87.01,51,40,9.17,scattered clouds
262,Makakilo City,US,21.35,-158.09,86.0,58,75,8.05,broken clouds
263,Coquimbo,CL,-29.95,-71.34,57.2,58,75,12.75,broken clouds
264,Sampit,ID,-2.53,112.95,73.27,92,0,0.96,clear sky
265,Novyy Urengoy,RU,66.08,76.63,54.73,87,99,8.43,light rain
266,Kankan,GN,10.39,-9.31,73.04,92,81,4.41,moderate rain
267,Morant Bay,JM,17.88,-76.41,89.6,70,75,12.75,broken clouds
268,Susanville,US,40.42,-120.65,86.0,17,1,3.36,haze
269,Huoqiu,CN,32.34,116.27,77.41,90,0,4.88,clear sky
270,Piopio,NZ,-38.47,175.02,57.0,84,100,8.99,moderate rain
271,Powell River,CA,49.85,-124.54,64.4,72,75,8.05,broken clouds
272,Srednekolymsk,RU,67.45,153.68,36.97,81,100,9.91,overcast clouds
273,Rockhampton,AU,-23.38,150.5,42.8,75,0,2.1,clear sky
274,Cintalapa,MX,16.7,-93.73,76.8,90,65,1.54,moderate rain
275,Oberwart,AT,47.29,16.21,68.0,17,100,3.11,light rain
276,Fare,PF,-16.7,-151.02,77.4,76,0,19.1,clear sky
